symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-09-04 00:00:00+00:00,228.36,229.18,226.63,228.41,27390132,54.7468057735,54.9433917812,54.3320572449,54.7587927251,109560528,0.0,1.0
AAPL,2018-09-05 00:00:00+00:00,226.87,229.67,225.1,228.99,33332960,54.389594613,55.0608639078,53.9652565231,54.8978413648,133331840,0.0,1.0
AAPL,2018-09-06 00:00:00+00:00,223.1,227.35,221.3,226.23,34289976,53.4857784553,54.5046693493,53.0542481944,54.2361616313,137159904,0.0,1.0
AAPL,2018-09-07 00:00:00+00:00,221.3,225.37,220.71,221.85,37619810,53.0542481944,54.0299860622,52.9128021644,53.186104663,150479240,0.0,1.0
AAPL,2018-09-10 00:00:00+00:00,218.33,221.85,216.47,220.95,39516453,52.3422232638,53.186104663,51.8963086608,52.9703395325,158065812,0.0,1.0
AAPL,2018-09-11 00:00:00+00:00,223.85,224.3,216.56,218.01,35749049,53.6655827307,53.773465296,51.9178851738,52.2655067729,142996196,0.0,1.0
AAPL,2018-09-12 00:00:00+00:00,221.07,225.0,219.84,224.94,49278740,52.9991082166,53.9412826197,52.7042292049,53.9268982776,197114960,0.0,1.0
AAPL,2018-09-13 00:00:00+00:00,226.41,228.35,222.57,223.52,41706377,54.2793146574,54.7444083831,53.3587167674,53.5864688495,166825508,0.0,1.0
AAPL,2018-09-14 00:00:00+00:00,223.84,226.84,222.52,225.75,31999289,53.6631853404,54.382402442,53.3467298157,54.1210868951,127997156,0.0,1.0
AAPL,2018-09-17 00:00:00+00:00,217.88,222.95,217.27,222.15,37195133,52.2343406985,53.4498176002,52.0880998879,53.2580263732,148780532,0.0,1.0
AAPL,2018-09-18 00:00:00+00:00,218.24,221.85,217.12,217.79,31571712,52.3206467507,53.186104663,52.0521390328,52.2127641855,126286848,0.0,1.0
AAPL,2018-09-19 00:00:00+00:00,218.37,219.62,215.3,218.5,27123833,52.3518128251,52.6514866175,51.6158139912,52.3829788995,108495332,0.0,1.0
AAPL,2018-09-20 00:00:00+00:00,220.03,222.28,219.15,220.24,26608794,52.7497796214,53.2891924476,52.5388092716,52.8001248185,106435176,0.0,1.0
AAPL,2018-09-21 00:00:00+00:00,217.66,221.36,217.29,220.78,96246748,52.1815981111,53.0686325364,52.0928946686,52.9295838968,384986992,0.0,1.0
AAPL,2018-09-24 00:00:00+00:00,220.79,221.26,216.63,216.82,27693358,52.9319812871,53.044658633,51.9346669062,51.9802173227,110773432,0.0,1.0
AAPL,2018-09-25 00:00:00+00:00,222.19,222.82,219.7,219.75,24554379,53.2676159345,53.4186515258,52.6706657402,52.6826526919,98217516,0.0,1.0
AAPL,2018-09-26 00:00:00+00:00,220.42,223.75,219.76,221.0,23984706,52.8432778446,53.6416088273,52.6850500822,52.9823264842,95938824,0.0,1.0
AAPL,2018-09-27 00:00:00+00:00,224.95,226.44,223.54,223.82,30181227,53.929295668,54.2865068284,53.5912636302,53.6583905597,120724908,0.0,1.0
AAPL,2018-09-28 00:00:00+00:00,225.74,225.84,224.02,224.79,22929364,54.1186895047,54.1426634081,53.7063383665,53.8909374226,91717456,0.0,1.0
AAPL,2018-10-01 00:00:00+00:00,227.26,229.42,226.35,227.95,23600802,54.4830928362,55.0009291494,54.2649303154,54.6485127696,94403208,0.0,1.0
AAPL,2018-10-02 00:00:00+00:00,229.28,230.0,226.63,227.25,24788170,54.9673656846,55.139977789,54.3320572449,54.4806954459,99152680,0.0,1.0
AAPL,2018-10-03 00:00:00+00:00,232.07,233.47,229.78,230.05,28654799,55.6362375891,55.9718722365,55.0872352015,55.1519647407,114619196,0.0,1.0
AAPL,2018-10-04 00:00:00+00:00,227.99,232.35,226.73,230.78,32042000,54.6581023309,55.7033645186,54.3560311483,55.3269742354,128168000,0.0,1.0
AAPL,2018-10-05 00:00:00+00:00,224.29,228.41,220.58,227.96,33580463,53.7710679056,54.7587927251,52.88163609,54.6509101599,134321852,0.0,1.0
AAPL,2018-10-08 00:00:00+00:00,223.77,224.8,220.2,222.21,29663923,53.646403608,53.8933348129,52.7905352571,53.2724107152,118655692,0.0,1.0
AAPL,2018-10-09 00:00:00+00:00,226.87,227.27,222.25,223.64,26891029,54.389594613,54.4854902265,53.2820002765,53.6152375336,107564116,0.0,1.0
AAPL,2018-10-10 00:00:00+00:00,216.36,226.35,216.05,225.46,41990554,51.8699373671,54.2649303154,51.7956182666,54.0515625752,167962216,0.0,1.0
AAPL,2018-10-11 00:00:00+00:00,214.45,219.5,212.32,214.52,53124392,51.4120358124,52.6227179334,50.9013916703,51.4288175448,212497568,0.0,1.0
AAPL,2018-10-12 00:00:00+00:00,222.11,222.88,216.84,220.42,40337851,53.2484368118,53.4330358679,51.9850121033,52.8432778446,161351404,0.0,1.0
AAPL,2018-10-15 00:00:00+00:00,217.36,221.83,217.27,221.16,30791007,52.1096764009,53.1813098823,52.0880998879,53.0206847296,123164028,0.0,1.0
AAPL,2018-10-16 00:00:00+00:00,222.15,222.99,216.76,218.93,29183963,53.2580263732,53.4594071616,51.9658329806,52.4860666841,116735852,0.0,1.0
AAPL,2018-10-17 00:00:00+00:00,221.19,222.64,219.34,222.3,22885397,53.0278769006,53.3754984997,52.584359688,53.2939872282,91541588,0.0,1.0
AAPL,2018-10-18 00:00:00+00:00,216.02,219.74,213.0,217.86,32581315,51.7884260956,52.6802553015,51.0644142133,52.2295459179,130325260,0.0,1.0
AAPL,2018-10-19 00:00:00+00:00,219.31,221.26,217.43,218.06,33078726,52.577167517,53.044658633,52.1264581333,52.2774937246,132314904,0.0,1.0
AAPL,2018-10-22 00:00:00+00:00,220.65,223.36,218.94,219.79,28792082,52.8984178224,53.5481106041,52.4884640744,52.6922422532,115168328,0.0,1.0
AAPL,2018-10-23 00:00:00+00:00,222.73,223.25,214.7,215.83,38767846,53.3970750128,53.5217393104,51.4719705709,51.7428756791,155071384,0.0,1.0
AAPL,2018-10-24 00:00:00+00:00,215.09,224.23,214.54,222.6,40925163,51.5654687941,53.7566835636,51.4336123254,53.3659089384,163700652,0.0,1.0
AAPL,2018-10-25 00:00:00+00:00,219.8,221.38,216.75,217.71,29855768,52.6946396436,53.0734273171,51.9634355903,52.1935850628,119423072,0.0,1.0
AAPL,2018-10-26 00:00:00+00:00,216.3,220.19,212.67,215.9,47258375,51.855553025,52.7881378668,50.9853003321,51.7596574115,189033500,0.0,1.0
AAPL,2018-10-29 00:00:00+00:00,212.24,219.69,206.09,219.19,45935520,50.8822125475,52.6682683498,49.4078174893,52.5483988329,183742080,0.0,1.0
AAPL,2018-10-30 00:00:00+00:00,213.3,215.18,209.27,211.15,36659990,51.1363359234,51.5870453071,50.170187617,50.6208970006,146639960,0.0,1.0
AAPL,2018-10-31 00:00:00+00:00,218.86,220.45,216.62,216.88,38358933,52.4692849517,52.8504700156,51.9322695159,51.9946016647,153435732,0.0,1.0
AAPL,2018-11-01 00:00:00+00:00,222.22,222.36,216.81,219.05,58323180,53.2748081055,53.3083715703,51.9778199323,52.5148353682,233292720,0.0,1.0
AAPL,2018-11-02 00:00:00+00:00,207.48,213.65,205.43,209.55,91328654,49.7410547463,51.2202445853,49.2495897269,50.2373145465,365314616,0.0,1.0
AAPL,2018-11-05 00:00:00+00:00,201.59,204.39,198.17,204.3,66163669,48.3289918369,49.0002611317,47.5090843411,48.9786846187,264654676,0.0,1.0
AAPL,2018-11-06 00:00:00+00:00,203.77,204.72,201.69,201.92,31882881,48.8516229307,49.0793750129,48.3529657403,48.4081057181,127531524,0.0,1.0
AAPL,2018-11-07 00:00:00+00:00,209.95,210.06,204.13,205.97,33424434,50.33321016,50.3595814537,48.9379289829,49.3790488052,133697736,0.0,1.0
AAPL,2018-11-08 00:00:00+00:00,208.49,210.12,206.75,209.98,25362636,50.1582006653,50.5503435358,49.7395941654,50.5166625531,101450544,0.73,1.0
AAPL,2018-11-09 00:00:00+00:00,204.47,206.01,202.25,205.55,34365750,49.1910753035,49.5615661137,48.6569911485,49.4509000276,137463000,0.0,1.0
AAPL,2018-11-12 00:00:00+00:00,194.17,199.85,193.79,199.0,51135518,46.713117287,48.0796028728,46.6216974767,47.8751111919,204542072,0.0,1.0
